rut,primer_nombre,segundo_nombre,apellido_paterno,apellido_materno,telefono,email,direccion,edad,presupuesto
17361082-3,Benjamín,,Miranda,Morales,944433555,benjamin.miranda199@gmail.com,"Lincoyán 2400, Chiguayante",38,2300000
21339540-8,Carmen,Andrés,Campos,Leiva,913200962,carmen.campos200@gmail.com,"O'Higgins 2441, Santiago",46,1300000
21069619-9,Ignacia,Esteban,Aguilera,Muñoz,991160055,ignacia.aguilera201@outlook.com,"Janequeo 2385, Chiguayante",33,1200000
23965387-1,Sofía,Vicente,González,Aguilera,983104791,sofia.gonzalez202@hotmail.com,"Las Heras 2344, Viña del Mar",30,1300000
23034216-4,Ignacio,Isabel,Miranda,Cáceres,934837049,ignacio.miranda203@gmail.com,"Rengo 3150, Valparaíso",54,8200000
23247288-K,Valentina,Francisco,Vargas,Fuentes,970099891,valentina.vargas204@outlook.com,"Janequeo 1034, Concepción",22,3300000
20492510-0,Martina,Antonio,Leiva,Bustos,986824275,martina.leiva205@gmail.com,"Pedro de Valdivia 513, Concepción",34,7600000
18996497-8,Gabriel,Matías,Vera,Torres,905757216,gabriel.vera206@hotmail.com,"Vicuña Mackenna 1111, Concepción",23,2300000
19826521-7,Cristóbal,Esteban,Flores,Cáceres,995470649,cristobal.flores207@outlook.com,"Vicuña Mackenna 2706, Viña del Mar",35,2400000
23284235-0,Catalina,Alejandra,Carrasco,Tapia,958507874,catalina.carrasco208@gmail.com,"Los Carrera 2150, Hualpén",31,3900000
23358394-4,Benjamín,Antonia,Silva,Cáceres,966484008,benjamin.silva209@hotmail.com,"Natanael Cox 3003, Chiguayante",31,2500000
25318064-1,Fernanda,Francisca,Tapia,Rivera,954510056,fernanda.tapia210@uandresbello.edu,"Natanael Cox 2806, Hualpén",30,8500000
18629600-1,Daniela,,Tapia,Pérez,913466158,daniela.tapia211@uandresbello.edu,"Vicuña Mackenna 135, Concepción",28,5500000
24457114-K,Francisca,Andrea,Tapia,Reyes,992280530,francisca.tapia212@gmail.com,"Avenida Colón 2324, Viña del Mar",36,5700000
23559368-8,Gabriel,Macarena,Aguilera,Pizarro,952795157,gabriel.aguilera213@outlook.com,"La Coruña 1184, San Pedro de la Paz",53,1400000
21218175-7,Martina,Matías,Miranda,Rojas,976750615,martina.miranda214@hotmail.com,"Vicuña Mackenna 719, Viña del Mar",16,5000000
25656186-7,Andrés,Antonia,Rojas,Araya,951921426,andres.rojas215@uandresbello.edu,"Caupolicán 2289, Hualpén",23,3000000
21712141-8,Felipe,Antonio,Carrasco,Leiva,977650507,felipe.carrasco216@hotmail.com,"Avenida Brasil 3136, Chiguayante",19,4000000
16124432-5,Tomás,Ignacio,Navarro,Silva,931965994,tomas.navarro217@hotmail.com,"Los Carrera 2411, Chiguayante",31,8100000
16368895-6,Daniela,Esteban,González,Reyes,906965572,daniela.gonzalez218@outlook.com,"Prat 1710, Valparaíso",20,900000
25968513-3,Ana,Matías,Miranda,Aguilera,947339363,ana.miranda219@uandresbello.edu,"Caupolicán 383, Valparaíso",33,2900000
20318944-3,Martina,Andrea,Navarro,Aguilera,983948543,martina.navarro220@gmail.com,"Lincoyán 1555, Chiguayante",50,7400000
18429683-7,Nicolás,Francisca,Pérez,Figueroa,943220975,nicolas.perez221@uandresbello.edu,"Natanael Cox 738, Talcahuano",21,4400000
24227807-0,María,Macarena,Figueroa,Morales,907763810,maria.figueroa222@gmail.com,"Janequeo 2560, San Pedro de la Paz",54,3400000
22193683-3,Josefa,Javiera,González,Sepulveda,963916527,josefa.gonzalez223@outlook.com,"Lincoyán 2796, Hualpén",22,3400000
25475611-3,Pamela,Andrés,Figueroa,Rojas,904183612,pamela.figueroa224@outlook.com,"Los Notros 2981, Talcahuano",58,5100000
20180740-9,Agustín,Andrés,Sepulveda,Torres,930184305,agustin.sepulveda225@uandresbello.edu,"Barros Arana 2950, San Pedro de la Paz",35,6500000
23112686-4,María,Eduardo,Pérez,Campos,910288700,maria.perez226@gmail.com,"Paicaví 1303, Chiguayante",43,4000000
23456963-5,Matías,Alejandro,Molina,Rojas,945576484,matias.molina227@outlook.com,"Avenida Brasil 3499, Chiguayante",31,1000000
21727552-0,Cristóbal,Macarena,Flores,Bravo,971941820,cristobal.flores228@hotmail.com,"Lincoyán 3548, Chiguayante",54,3400000
20719566-9,Sofía,Macarena,Torres,Pizarro,911639805,sofia.torres229@uandresbello.edu,"Pedro de Valdivia 2344, San Pedro de la Paz",22,5300000
22009816-8,Ignacia,Javiera,Ortiz,Pizarro,929401942,ignacia.ortiz230@uandresbello.edu,"Pedro de Valdivia 2919, Santiago",43,3900000
20793393-7,Carmen,Catalina,Soto,Vera,923376012,carmen.soto231@uandresbello.edu,"Prat 1686, Chiguayante",31,5600000
19483569-8,Matías,Antonio,Contreras,Castillo,984242665,matias.contreras232@uandresbello.edu,"Las Heras 1234, Chiguayante",19,4500000
24075418-5,Camila,Belén,Silva,Aguilera,987589563,camila.silva233@hotmail.com,"Janequeo 1874, Talcahuano",22,8200000
16886223-7,Ana,Ignacia,Soto,Figueroa,947227335,ana.soto234@gmail.com,"San Diego 3449, Santiago",62,5400000
17338087-9,Pamela,Alejandro,Sepulveda,Cáceres,946546280,pamela.sepulveda235@outlook.com,"Eyzaguirre 1353, Talcahuano",18,6600000
21630038-6,Catalina,Isabel,Vera,Silva,960871723,catalina.vera236@hotmail.com,"Natanael Cox 834, Santiago",24,6600000
24426293-7,Camila,Macarena,Bravo,Rojas,966236165,camila.bravo237@outlook.com,"Diagonal Oriente 1775, Concepción",32,5800000
16213539-2,Paula,Constanza,Rivera,Cortés,970116436,paula.rivera238@uandresbello.edu,"Chacabuco 462, Concepción",50,3300000
18162348-9,Paula,Ignacio,Gutiérrez,Aguilera,944256690,paula.gutierrez239@outlook.com,"Caupolicán 1094, Viña del Mar",37,600000
20067901-6,Rodrigo,Antonia,Muñoz,Carrasco,944997382,rodrigo.munoz240@uandresbello.edu,"Lincoyán 3890, Chiguayante",31,800000
19373076-0,Josefa,Sebastián,Ortiz,Rivera,959700039,josefa.ortiz241@outlook.com,"Prat 2565, Viña del Mar",25,5900000
18449328-4,Valentina,Constanza,Aguilera,Campos,981541121,valentina.aguilera242@gmail.com,"Natanael Cox 2091, Chiguayante",54,4300000
16952571-4,Andrés,Macarena,Araya,Aguilera,929876004,andres.araya243@hotmail.com,"Las Heras 1996, Valparaíso",19,4700000
17059271-9,Matías,Javier,Castillo,Acosta,945360943,matias.castillo244@outlook.com,"Avenida Argentina 463, Talcahuano",38,3100000
22280282-2,Paula,Javier,Carrasco,Vera,946134110,paula.carrasco245@hotmail.com,"Las Heras 416, Hualpén",20,3900000
19185435-7,Agustín,Javier,Cáceres,Figueroa,904948644,agustin.caceres246@gmail.com,"Pedro de Valdivia 3140, Concepción",47,5100000
22196736-4,Lucas,Francisca,Figueroa,Vera,910919688,lucas.figueroa247@uandresbello.edu,"Freire 1311, Chiguayante",25,7700000
20766453-7,Paula,Constanza,Morales,Leiva,906727237,paula.morales248@outlook.com,"Eyzaguirre 2392, Talcahuano",25,2400000
18343418-7,Sebastián,Ignacio,Leiva,Soto,978096819,sebastian.leiva249@hotmail.com,"Las Heras 817, Chiguayante",25,3100000
23748092-9,Tomás,Macarena,Rivera,Rojas,955980223,tomas.rivera250@gmail.com,"Diagonal Oriente 3897, Santiago",33,7000000
21822394-K,Carmen,Esteban,Contreras,Valdés,939366300,carmen.contreras251@hotmail.com,"Las Heras 3689, Valparaíso",27,3100000
21474965-3,Benjamín,Antonio,Valdés,Medina,942620494,benjamin.valdes252@uandresbello.edu,"Los Carrera 443, Valparaíso",27,800000
21468915-4,Ana,Javiera,Araya,Miranda,926228812,ana.araya253@outlook.com,"San Diego 784, Chiguayante",63,2300000
20868929-0,Pablo,Macarena,Castillo,Contreras,932540945,pablo.castillo254@hotmail.com,"Natanael Cox 1426, Viña del Mar",19,6900000
18930872-8,Joaquín,María,Gutiérrez,Vera,979841798,joaquin.gutierrez255@uandresbello.edu,"Diagonal Oriente 3627, Concepción",18,5000000
16503822-3,Isidora,Andrés,Soto,Vargas,961292751,isidora.soto256@outlook.com,"O'Higgins 1020, Viña del Mar",33,5300000
17051721-0,Carmen,Esteban,Navarro,Soto,905537526,carmen.navarro257@hotmail.com,"Lincoyán 830, Chiguayante",39,2400000
17409903-0,Tomás,Josefina,Tapia,Muñoz,905602434,tomas.tapia258@gmail.com,"Los Carrera 2287, Viña del Mar",34,3400000
23842939-0,Vicente,Josefina,Molina,Aguilera,954013503,vicente.molina259@hotmail.com,"Vicuña Mackenna 881, Chiguayante",19,4200000
16827691-5,Ignacia,Tomás,Saavedra,Fuentes,969196915,ignacia.saavedra260@hotmail.com,"Lincoyán 2648, Valparaíso",28,3200000
18962584-7,Ignacio,Nicolás,Cáceres,Saavedra,905927379,ignacio.caceres261@uandresbello.edu,"Barros Arana 583, Talcahuano",40,1200000
22215226-7,Joaquín,Antonio,Miranda,Tapia,914025220,joaquin.miranda262@outlook.com,"Freire 2645, Santiago",47,7000000
16819723-3,Martín,Nicolás,Rivera,Vera,991341466,martin.rivera263@outlook.com,"Los Carrera 3299, Santiago",45,7000000
23911189-0,Nicolás,Francisca,Reyes,Bravo,916878447,nicolas.reyes264@uandresbello.edu,"Avenida Argentina 1511, Valparaíso",28,2200000
16847901-8,Florencia,Josefina,Tapia,Reyes,953309272,florencia.tapia265@outlook.com,"Las Heras 3118, Talcahuano",41,7800000
25225137-5,Benjamín,Felipe,Aguilera,Miranda,916113520,benjamin.aguilera266@hotmail.com,"O'Higgins 2324, Viña del Mar",48,1000000
18909024-2,Florencia,Vicente,Ortiz,Sepulveda,984832677,florencia.ortiz267@gmail.com,"Rengo 2538, Hualpén",29,4200000
17458099-5,Pamela,Catalina,Morales,Acosta,955455099,pamela.morales268@gmail.com,"Chacabuco 236, Valparaíso",55,8500000
25012092-3,María,,Vargas,Araya,906302662,maria.vargas269@uandresbello.edu,"Freire 1618, Talcahuano",55,6000000
16759117-5,Sebastián,Francisco,Rivera,Miranda,904924883,sebastian.rivera270@gmail.com,"Irarrázaval 2010, Chiguayante",41,4400000
22442162-1,Rodrigo,Javiera,Gutiérrez,González,993379870,rodrigo.gutierrez271@outlook.com,"Natanael Cox 2326, Valparaíso",22,2500000
25646478-0,Cristóbal,Vicente,Ortiz,Leiva,953431565,cristobal.ortiz272@hotmail.com,"Avenida Brasil 3481, Concepción",22,7100000
21453939-K,Lucas,María,Castillo,Tapia,977398613,lucas.castillo273@hotmail.com,"Los Carrera 1865, Santiago",20,6300000
18353830-6,Pablo,Antonio,González,Fuentes,909130549,pablo.gonzalez274@uandresbello.edu,"Eyzaguirre 2878, Hualpén",39,7200000
22397106-7,Martín,Gabriel,Figueroa,Cáceres,963913817,martin.figueroa275@hotmail.com,"Los Aromos 2537, Concepción",30,2200000
21946317-0,Josefa,Andrea,Cáceres,Contreras,952991079,josefa.caceres276@uandresbello.edu,"Irarrázaval 2513, Viña del Mar",29,1600000
24601214-8,Tomás,Antonia,Figueroa,Pizarro,926311514,tomas.figueroa277@gmail.com,"Eyzaguirre 2445, Chiguayante",34,6200000
20188789-5,Joaquín,María,Reyes,Figueroa,922447620,joaquin.reyes278@uandresbello.edu,"Los Carrera 987, Chiguayante",44,5900000
17431175-7,Daniela,Alejandra,Sepulveda,Medina,919187176,daniela.sepulveda279@outlook.com,"Vicuña Mackenna 594, Viña del Mar",41,3300000
16837951-K,Isidora,Antonio,Flores,Castillo,936542028,isidora.flores280@hotmail.com,"Freire 1988, Hualpén",19,5800000
19579019-1,Maximiliano,Catalina,Silva,Campos,906592421,maximiliano.silva281@gmail.com,"Avenida Colón 3896, Hualpén",39,5200000
18552871-5,Florencia,Sebastián,Castillo,Figueroa,989396479,florencia.castillo282@gmail.com,"Pedro de Valdivia 114, San Pedro de la Paz",43,6600000
22849616-2,Valentina,Francisca,Cortés,Lagos,901455857,valentina.cortes283@hotmail.com,"La Coruña 1623, Santiago",44,800000
21670360-K,Tomás,,Gutiérrez,Reyes,919437364,tomas.gutierrez284@outlook.com,"Los Carrera 3487, San Pedro de la Paz",48,600000
19799124-0,Pablo,Matías,Pérez,Molina,916748313,pablo.perez285@uandresbello.edu,"Los Aromos 1438, Viña del Mar",25,7100000
18938504-8,Maximiliano,María,Rivera,Bustos,940856753,maximiliano.rivera286@uandresbello.edu,"San Diego 1130, San Pedro de la Paz",34,6700000
16632717-2,Nicolás,Francisco,Ortiz,Contreras,962265790,nicolas.ortiz287@hotmail.com,"Vicuña Mackenna 2100, Hualpén",41,2600000
18223948-8,Constanza,Javiera,Campos,Gutiérrez,999374197,constanza.campos288@outlook.com,"Maipú 2758, Concepción",16,4100000
23747141-5,Martín,Sebastián,Cáceres,Flores,942978290,martin.caceres289@hotmail.com,"Vicuña Mackenna 1152, Viña del Mar",33,3700000
21039177-0,Nicolás,Ignacia,Pizarro,Sepulveda,967869587,nicolas.pizarro290@uandresbello.edu,"Diagonal Oriente 3509, Viña del Mar",60,1800000
23296098-1,Francisca,Catalina,Saavedra,Vargas,953915742,francisca.saavedra291@uandresbello.edu,"Avenida Brasil 1874, Chiguayante",45,3500000
18904259-0,Benjamín,Tomás,Carrasco,Muñoz,994956945,benjamin.carrasco292@outlook.com,"Los Aromos 1612, Concepción",39,3000000
18553551-7,Diego,Nicolás,Cortés,Morales,967093846,diego.cortes293@uandresbello.edu,"Irarrázaval 3490, Chiguayante",49,1700000
18690020-0,Daniela,María,Henríquez,Figueroa,999193368,daniela.henriquez294@uandresbello.edu,"Natanael Cox 1635, Talcahuano",41,2000000
21058172-3,Florencia,Antonia,Molina,Medina,957140645,florencia.molina295@gmail.com,"Caupolicán 234, Concepción",54,3400000
19575352-0,Tomás,Eduardo,Castillo,Bustos,958944285,tomas.castillo296@gmail.com,"Los Notros 2071, San Pedro de la Paz",34,3100000
16023306-0,Isidora,María,Vargas,Valdés,916858209,isidora.vargas297@hotmail.com,"Los Carrera 3452, Talcahuano",34,5100000
23456181-2,Camila,Antonio,Miranda,Vera,982333818,camila.miranda298@uandresbello.edu,"Pedro de Valdivia 3511, Concepción",64,1500000
22016194-3,Florencia,Gabriel,Tapia,Sepulveda,940908830,florencia.tapia299@uandresbello.edu,"Los Carrera 3561, Concepción",52,3100000
21792891-5,Benjamín,María,Lagos,Fuentes,997054752,benjamin.lagos300@hotmail.com,"Avenida Colón 562, Chiguayante",26,2200000
